NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	Id2	na	6	3.264387369155884	0.030116875	Yes	
row_1	S100a6	na	23	2.350749969482422	0.051503018	Yes	
row_2	Tmem256	na	26	2.2663533687591553	0.072468065	Yes	
row_3	Casp8ap2	na	49	2.0044362545013428	0.09048777	Yes	
row_4	Ccdc69	na	102	1.6503028869628906	0.104448706	Yes	
row_5	Anxa4	na	119	1.5594455003738403	0.1184968	Yes	
row_6	Ints10	na	125	1.5282458066940308	0.13253964	Yes	
row_7	Mif	na	190	1.3663979768753052	0.14355794	Yes	
row_8	Siva1	na	211	1.3069688081741333	0.15516141	Yes	
row_9	Aebp2	na	251	1.237899899482727	0.16563372	Yes	
row_10	Cybb	na	261	1.2209643125534058	0.17672373	Yes	
row_11	Tusc3	na	440	1.0235527753829956	0.18161863	Yes	
row_12	Gm10184	na	446	1.0160431861877441	0.19091164	Yes	
row_13	Il1r1	na	462	1.00746488571167	0.19986685	Yes	
row_14	Ptprv	na	473	0.9996038675308228	0.20887828	Yes	
row_15	Ska1	na	495	0.985338568687439	0.21747334	Yes	
row_16	Klrg1	na	512	0.973777174949646	0.22609033	Yes	
row_17	Gar1	na	523	0.9700475931167603	0.23482767	Yes	
row_18	Vamp5	na	536	0.9620682597160339	0.24343938	Yes	
row_19	Tnfrsf1b	na	546	0.9565553665161133	0.25207743	Yes	
row_20	Cycs	na	613	0.8973153233528137	0.25869408	Yes	
row_21	Smdt1	na	692	0.8532976508140564	0.26459268	Yes	
row_22	Anln	na	702	0.8477014899253845	0.27222127	Yes	
row_23	Map7d1	na	707	0.844961941242218	0.2799536	Yes	
row_24	Slc16a3	na	724	0.8368648886680603	0.28730094	Yes	
row_25	Itgb1	na	736	0.83216392993927	0.29473382	Yes	
row_26	Pmf1	na	742	0.8298966884613037	0.30230063	Yes	
row_27	Fkbp5	na	815	0.79642653465271	0.30782676	Yes	
row_28	Rap1a	na	868	0.776538074016571	0.31368497	Yes	
row_29	Psmb5	na	890	0.7675191760063171	0.32026014	Yes	
row_30	Tk1	na	913	0.7554279565811157	0.32669732	Yes	
row_31	Slc25a1	na	919	0.7529346942901611	0.33355042	Yes	
row_32	Srgn	na	951	0.742202877998352	0.33963257	Yes	
row_33	Cd83	na	953	0.7421389222145081	0.34648886	Yes	
row_34	Nfatc1	na	956	0.7396799325942993	0.35329652	Yes	
row_35	Dnase2a	na	1044	0.7127593159675598	0.3576594	Yes	
row_36	Sec11c	na	1174	0.672467052936554	0.360564	Yes	
row_37	Arhgap19	na	1187	0.6678851842880249	0.36644763	Yes	
row_38	4930427A07Rik	na	1229	0.6541457176208496	0.37145492	Yes	
row_39	Hmgb1	na	1247	0.6498767733573914	0.37704244	Yes	
row_40	Ppp2r1a	na	1264	0.6422422528266907	0.382585	Yes	
row_41	Cldn25	na	1269	0.6412751078605652	0.38842845	Yes	
row_42	B9d2	na	1302	0.6324743032455444	0.39346722	Yes	
row_43	Hadh	na	1318	0.6267333626747131	0.39889175	Yes	
row_44	Snx19	na	1328	0.6236771941184998	0.4044429	Yes	
row_45	Mrps12	na	1337	0.6210642457008362	0.40999568	Yes	
row_46	D030056L22Rik	na	1352	0.6175472736358643	0.41536084	Yes	
row_47	Ttn	na	1402	0.6026796102523804	0.4196843	Yes	
row_48	Abcb1a	na	1403	0.6023474335670471	0.42527005	Yes	
row_49	Mrpl12	na	1444	0.5919207334518433	0.42972615	Yes	
row_50	Ass1	na	1475	0.5863654613494873	0.43438897	Yes	
row_51	Uqcr10	na	1478	0.585746169090271	0.43976915	Yes	
row_52	Psma1	na	1487	0.5836358070373535	0.4449748	Yes	
row_53	Zfp367	na	1513	0.579111635684967	0.4496995	Yes	
row_54	Cdc25b	na	1531	0.5758238434791565	0.45460027	Yes	
row_55	Stil	na	1639	0.5711316466331482	0.4571333	Yes	
row_56	Cntrob	na	1881	0.5611004829406738	0.45611274	Yes	
row_57	Tmco4	na	1976	0.5541170239448547	0.4588237	Yes	
row_58	Irf4	na	2093	0.5404040813446045	0.46083936	Yes	
row_59	Eif4e	na	2229	0.5234312415122986	0.46220693	Yes	
row_60	Lpxn	na	2241	0.5226825475692749	0.46676987	Yes	
row_61	Ldha	na	2277	0.5186364054679871	0.4706755	Yes	
row_62	Grwd1	na	2379	0.5040096640586853	0.472741	Yes	
row_63	H2afz	na	2469	0.49144330620765686	0.4749999	Yes	
row_64	Ipmk	na	2476	0.4899730384349823	0.47938865	Yes	
row_65	St6galnac4	na	2499	0.4856192469596863	0.4833238	Yes	
row_66	Mapk6	na	2599	0.47394484281539917	0.4851622	Yes	
row_67	Itgae	na	2656	0.46278759837150574	0.48800758	Yes	
row_68	2810428I15Rik	na	2672	0.4612557291984558	0.49189758	Yes	
row_69	Chaf1b	na	2707	0.45477399230003357	0.4952368	Yes	
row_70	Pdzk1ip1	na	2747	0.44912418723106384	0.49839452	Yes	
row_71	Rab11a	na	2758	0.4473172724246979	0.5022844	Yes	
row_72	Ndst1	na	2759	0.4472675621509552	0.50643206	Yes	
row_73	St14	na	2804	0.44024476408958435	0.5093783	Yes	
row_74	Cpsf2	na	2879	0.43640750646591187	0.51151425	Yes	
row_75	Psmd2	na	2892	0.43386489152908325	0.51522774	Yes	
row_76	Ola1	na	2914	0.42945483326911926	0.5186679	Yes	
row_77	Trip13	na	3035	0.41074055433273315	0.5193778	Yes	
row_78	Zfp52	na	3160	0.4058215916156769	0.5199388	Yes	
row_79	Ppcs	na	3177	0.4024326801300049	0.5232575	Yes	
row_80	Bhlhe40	na	3268	0.38751891255378723	0.52452683	Yes	
row_81	M6pr	na	3270	0.3872709274291992	0.5280923	Yes	
row_82	Bub1	na	3288	0.3858133852481842	0.5312311	Yes	
row_83	Map2k3	na	3345	0.37729060649871826	0.53328365	Yes	
row_84	Vsig10	na	3371	0.3732728958129883	0.5360995	Yes	
row_85	Myo5a	na	3419	0.3674023449420929	0.53829277	Yes	
