NAME	TITLE	SCORE	
2410018M08Rik	na	1.9149295	
Cdcp1	na	1.9094272	
Cfp	na	1.9072492	
Slc25a1	na	1.8963869	
Ptges2	na	1.8949131	
Ell2	na	1.8938919	
Syngr2	na	1.8881248	
2210417A02Rik	na	1.8852445	
Ptprv	na	1.8835458	
Lgals3	na	1.880289	
Gpank1	na	1.8748952	
Ces2c	na	1.8729191	
Tmem180	na	1.869717	
Snx5	na	1.8628099	
Irf5	na	1.8593323	
Zfp759	na	1.8541052	
Nav2	na	1.848551	
Cd38	na	1.8461195	
Gcnt1	na	1.8445038	
Itgav	na	1.8352523	
Ccl5	na	1.8350682	
Mettl7a1	na	1.8339044	
D10Jhu81e	na	1.8335557	
Mrps14	na	1.8327913	
Tbx21	na	1.8307287	
Tnfrsf1b	na	1.8306329	
Agpat4	na	1.8156644	
Shkbp1	na	1.8136725	
Psme2	na	1.8107933	
Carhsp1	na	1.8103089	
Fkbpl	na	1.8094252	
Aurkb	na	1.8090957	
Cit	na	1.8081503	
Acat2	na	1.8068929	
Coro2b	na	1.8060399	
Slmo2	na	1.8057942	
Psmg2	na	1.8034874	
Itgal	na	1.8021282	
Cdk6	na	1.798185	
1110008F13Rik	na	1.7948457	
Agl	na	1.789025	
Nptn	na	1.788063	
Rnase4	na	1.7860578	
Cep44	na	1.7858628	
Kifc5b	na	1.7846651	
Plxdc1	na	1.783795	
Ttc39c	na	1.7823956	
Magee1	na	1.7803386	
Akip1	na	1.7697785	
Sirt6	na	1.769747	
Cdca2	na	1.768299	
Sord	na	1.7634622	
Plbd2	na	1.7593184	
Dnajc18	na	1.757529	
Mrpl51	na	1.7527816	
Chpt1	na	1.7495189	
Map2k4	na	1.7481973	
Tacc3	na	1.7464862	
Sumo3	na	1.742123	
Tmem138	na	1.740691	
Dhfr	na	1.7404827	
Cxcr5	na	1.7401196	
Nop9	na	1.7397289	
Cenpa	na	1.7362337	
Ndufa9	na	1.7346535	
Lax1	na	1.7344667	
Gpr89	na	1.7297623	
Coa4	na	1.7282149	
Mb21d1	na	1.7217969	
Cd82	na	1.7178386	
Cxcr3	na	1.7160522	
Neurl1b	na	1.711368	
Cdk1	na	1.7073729	
Tipin	na	1.7061945	
Kpna3	na	1.7051647	
40796	na	1.6969799	
Rfx2	na	1.6964488	
Bicd1	na	1.6952678	
Hivep3_1	na	1.6906402	
Psat1	na	1.6890587	
Eea1	na	1.6890347	
E2f8	na	1.6879864	
Zfp719	na	1.6837693	
Scyl3	na	1.6828218	
2410004B18Rik	na	1.6665449	
Lrr1	na	1.6655596	
Klhl5	na	1.6615365	
F13a1	na	1.6606755	
Dync1li2	na	1.6597896	
Gm17354	na	1.6579926	
Chdh	na	1.6556256	
Dhrs4	na	1.6541772	
AW112010	na	1.651731	
Med30	na	1.6507453	
Faim	na	1.6493146	
Mrps7	na	1.6437097	
Cenpp	na	1.6413338	
Sil1	na	1.6400409	
Dok1	na	1.6393955	
Cenpm	na	1.6314576	
Itgb8	na	1.6261075	
Prc1	na	1.6256429	
Fancd2	na	1.6254107	
Ddx21	na	1.618988	
Ndufaf4	na	1.61858	
Nrn1	na	1.616154	
Slc43a1	na	1.61599	
Tnfrsf4	na	1.6158624	
Stk3	na	1.6150367	
Lig1	na	1.6146628	
Psmc5	na	1.6064821	
Aarsd1	na	1.6054728	
Csf1	na	1.6053612	
Spata13	na	1.6022092	
Cd22	na	1.5996208	
Med24	na	1.5968865	
S100a10	na	1.5961007	
Gm10260	na	1.5956931	
Cenpf	na	1.5938731	
Cycs	na	1.5934807	
Thumpd2	na	1.5917097	
Ipp	na	1.590779	
Penk	na	1.5895836	
Ints8	na	1.5860212	
Tuba1c	na	1.5857135	
Mpeg1	na	1.5854195	
Morc3	na	1.5829378	
Rpia	na	1.5788622	
Spc24	na	1.5769495	
Nkiras1	na	1.5753464	
Hif1a	na	1.5731133	
Klrb1c	na	1.5703889	
Prkar1a	na	1.5669302	
St6gal1	na	1.5643953	
Ergic1	na	1.563872	
1700017B05Rik	na	1.5618694	
Cltc	na	1.5581605	
Cox5a	na	1.5551703	
Cited2	na	1.5525575	
Prkra	na	1.5500034	
H2afz	na	1.5453737	
Usp30	na	1.5449702	
Zfx	na	1.5443761	
Etf1	na	1.5405858	
Cks2	na	1.5386199	
Tmem176a	na	1.5379901	
Itm2c	na	1.536647	
Mapre3	na	1.535266	
Ccnb1	na	1.5343362	
Tuba1b	na	1.5342492	
Pebp1	na	1.532455	
Nfkb2	na	1.5282422	
Cd83	na	1.5237103	
S1pr2	na	1.5233411	
Tox	na	1.5226134	
Prdx1	na	1.5220759	
Hprt	na	1.5211126	
Abcb1a	na	1.519081	
Pabpc4	na	1.5091327	
Myo3b	na	1.5078602	
Cebpa	na	1.507434	
Nme1	na	1.5071396	
Naa20	na	1.5051535	
Ctla4	na	1.5036418	
B3galt6	na	1.5031881	
Slc25a46	na	1.5023829	
Cxcr4	na	1.5006442	
Lcorl	na	1.4997413	
Arfgef2	na	1.4980421	
2310015A10Rik	na	1.4979665	
Nfyb	na	1.4970988	
Nmi	na	1.4958804	
Crmp1	na	1.4954045	
Cep55	na	1.4931922	
Pkm	na	1.492426	
Mcm6	na	1.4924016	
Npat	na	1.4915895	
Diap3	na	1.4915553	
Rgs16	na	1.4911125	
Pex16	na	1.490125	
Pnkd	na	1.4865781	
Ect2l	na	1.4824104	
Celf5	na	1.4812608	
Usp9x	na	1.4790759	
Mdh1	na	1.4779111	
Ckap2l	na	1.4768282	
Mcm3	na	1.476804	
Shpk	na	1.476578	
Ndc80	na	1.4751306	
Cmtm4	na	1.4735992	
Anp32e	na	1.4725962	
Gmds	na	1.4687434	
Cyb5r4	na	1.4663811	
Apobr	na	1.4635577	
Gm10069	na	1.462723	
Anln	na	1.4621757	
Prdm1	na	1.4618104	
Haus8	na	1.4609083	
Mogs	na	1.4595816	
Gm17529	na	1.4562305	
Vdac1	na	1.4544201	
Peo1	na	1.4514856	
Farp1	na	1.4502144	
Dis3	na	1.4491675	
Vsig10	na	1.4489875	
