NAME	TITLE	SCORE	
Itgae	na	2.3508606	
Zbtb14	na	2.3470025	
Pkm	na	2.341302	
Hbs1l	na	2.3404608	
Nuf2	na	2.3402967	
Lrba	na	2.3384395	
Ide	na	2.3344302	
Penk	na	2.3341796	
H2-Aa	na	2.3333263	
Bub1b	na	2.3252294	
Trex1	na	2.322164	
Tjp2	na	2.3096871	
Lsm3	na	2.3096135	
Cep89	na	2.3032694	
Hmgn2	na	2.299123	
Gm2a	na	2.2889001	
Prdx1	na	2.2854958	
1700029I15Rik	na	2.281107	
Pgk1	na	2.2781503	
Kdelr2	na	2.275584	
Ezh2	na	2.2747161	
Hells	na	2.2708209	
Cebpb	na	2.261524	
Dtl	na	2.2578852	
Txn1	na	2.2550983	
Cd200r4	na	2.249323	
C330027C09Rik	na	2.2428591	
Tnfsf14	na	2.232194	
Cisd1	na	2.2312567	
Havcr2	na	2.230864	
Gstcd	na	2.2299418	
Nucks1	na	2.2279453	
Fgfr1op	na	2.2255764	
Dyrk1b	na	2.2151728	
Apobec2	na	2.2117147	
Calm3	na	2.2106931	
Atp2b4	na	2.206185	
Prr11	na	2.2042365	
Tnfaip8_1	na	2.2017267	
Espl1	na	2.19887	
Slc11a2	na	2.1984227	
Tceal3	na	2.1979594	
Batf	na	2.1979375	
Fasn	na	2.1967723	
Crmp1	na	2.1948686	
Gm26582	na	2.1911983	
Alms1	na	2.190615	
Fam81a	na	2.1860375	
Myo1f	na	2.1847227	
Melk	na	2.1838214	
Sgol2	na	2.1836221	
Psat1	na	2.175068	
Idh2	na	2.1728587	
Cdc45	na	2.1694643	
Metap1	na	2.1687691	
Fignl1	na	2.1672983	
Pnp	na	2.1670606	
D17Wsu104e	na	2.1659448	
Set	na	2.1599298	
Maged1	na	2.1572516	
Kcnk5	na	2.1556706	
Scarb1	na	2.155417	
Cdc25b	na	2.1516201	
Fam110a	na	2.150911	
Naa50	na	2.147862	
Ccp110	na	2.1462858	
Gm7901	na	2.143635	
Il12rb1	na	2.1415188	
Akap1	na	2.138615	
Lmna	na	2.133435	
Npas4	na	2.1187997	
Acot11	na	2.1160069	
Hmgb1	na	2.113713	
Cops4	na	2.1094747	
Lcp1	na	2.1084676	
Eif4a3	na	2.1081696	
Nsl1	na	2.1055396	
Hist1h2ae	na	2.1034095	
Lgmn	na	2.1022568	
Mapk6	na	2.097022	
Vim	na	2.0892105	
0610009O20Rik	na	2.0890453	
PYURF	na	2.0820715	
Brip1	na	2.0811508	
Wdhd1	na	2.0807023	
Znf41-ps	na	2.0762422	
Aebp2	na	2.075767	
Fkbp5	na	2.0755084	
Tbx21	na	2.0695243	
Rfc4	na	2.0611408	
