"","Feature.ID","LNTcon1","LNTcon2","LNTcon3","LNTfh1","LNTfh2","LNTfh3","LNTreg1","LNTreg2","LNTreg3","LNTfr1","LNTfr2","LNTfr3","SpleenTcon1","SpleenTcon2","SpleenTcon3","SpleenTfh1","SpleenTfh2","SpleenTfh3","SpleenTreg1","SpleenTreg2","SpleenTreg3","SpleenTfr1","SpleenTfr2","SpleenTfr3","BloodTcon1","BloodTcon2","BloodTcon3","BloodTfh1","BloodTfh2","BloodTfh3","BloodTreg1","BloodTreg2","BloodTreg3","BloodTfr1","BloodTfr2","BloodTfr3","EZH2EXP_F_p_Treg_1","EZH2EXP_F_p_Treg_2","EZH2EXP_F_p_Treg_3","EZH2EXP_F_p_Tfr_1","EZH2EXP_F_p_Tfr_2","EZH2EXP_F_p_Tfr_3","BlimpEXP_F_p_Treg_1","BlimpEXP_F_p_Treg_2","BlimpEXP_F_p_Treg_3","BlimpEXP_F_p_Treg_4","BlimpEXP_F_p_Tfr_1","BlimpEXP_F_p_Tfr_2","BlimpEXP_F_p_Tfr_3","BlimpEXP_F_p_Tfr_4","FoxDownFoxP_Tfr_1","FoxDownFoxP_Tfr_2","FoxDownFoxP_Tfr_3","FoxDownFoxMTfr_1","FoxDownFoxMTfr_2","FoxDownFoxMTfr_3","FoxDown_Tfh_1","FoxDown_Tfh_2","FoxDown_Tfh_3","HDM_OVA_Tcon_1","HDM_OVA_Tcon_2","HDM_OVA_Tfh_1","HDM_OVA_Tfh_2","HDM_OVA_Tfr_1","HDM_OVA_Tfr_2","HDM_Tfh_1","HDM_Tfh_2","HDM_Tfr_1","HDM_Tfr_2","FoxF_CreN_Tcon_1","FoxF_CreN_Tcon_2","FoxF_CreN_Tcon_3","FoxF_CreN_Tcon_4","FoxF_CreN_Treg_1","FoxF_CreN_Treg_2","FoxF_CreN_Treg_3","FoxF_CreN_Treg_4","FoxF_CreN_ICOS_1","FoxF_CreN_ICOS_2","FoxF_CreN_ICOS_3","FoxF_CreN_ICOS_4","FoxF_CreN_Tfr_1","FoxF_CreN_Tfr_2","FoxF_CreN_Tfr_3","FoxF_CreN_Tfr_4","rfTestPred","X1","X2"
"4863","Cdca2",0,0,1.16,33.339,22.41,22.426,0,0,0,43.5,69.752,53.385,3.898,1.792,0,16.254,8.748,25.963,1.582,0.52,0,32.429,32.93,10.122,7.349,1.985,6.028,23.41,13.498,15.505,0.597,0,0,20.508,0,26.792,26.6833597765,0,0,28.3016846376,48.7971088349,109.295912776,31.8026033611,0,3.0747597075,0,33.8761675515,60.7399178339,36.7822641761,44.216592522,26.8490698715,74.4179656418,43.6519195932,27.6111203787,39.0534485497,0,25.39096838,23.5503942083,24.5842891264,12.4259378,1.58715673,76.777495,41.5536622,42.9744529,54.8957177,48.7868821,45.046985,53.9075632,76.6800919,0,0.8366653531,0,0,0,0,0,0,51.8292399308,44.4171155803,59.9682713328,48.9300626305,2.9506663342,72.2250309734,73.4958553725,85.0245364727,"2",0.002,0.998
"5007","Cenph",0,0,0,20.837,20.135,27.188,10.441,0.516,0,28.532,56.424,40.9,0.354,0,0.505,23.086,7.601,8.015,0,6.246,7.766,7.412,8.233,55.91,2.912,2.761,1.799,5.733,6.051,0.326,16.106,5.073,1.13,0,27.347,85.398,6.4040063464,0,0,63.0723257637,94.1996361857,40.6167243424,0,9.8106303085,60.4702742481,0,54.5782699441,84.5077117688,23.9376639876,13.9200383866,25.3148373074,35.1645332154,19.1642573824,50.620387361,39.0534485497,35.4788161902,23.6398671124,20.231211132,28.3664874535,0,0,29.4313731,27.2147224,7.16240881,65.6788052,43.3661175,11.8805235,12.2517189,31.5010107,0,0,0,0,5.7180040506,7.0669166336,0,10.3542654396,66.4477435011,103.4085972103,32.7099661815,83.4141067701,76.7173246898,1.8519238711,23.4724983127,1.1489802226,"2",0.002,0.998
"5734","Crmp1",2.792,0.185,3.481,24.759,33.109,31.95,8.701,11.857,20.247,67.354,50.648,89.119,3.19,0,0.252,16.136,14.055,31.607,3.692,7.287,0.555,43.084,14.528,35.185,0.139,2.373,1.26,51.598,2.56,30.683,11.334,3.945,0.565,19.653,28.441,18.419,0,4.4621069511,0,48.5171736644,29.7025879865,11.8157743542,0,0,0,0,74.6530359006,35.6516909025,42.0368733441,16.3765157489,8.4382791025,4.9066790533,13.8408525539,0,5.2071264733,1.4782840079,34.146474718,21.3376054908,49.1685782527,0,0,5.75831212,40.090505,62.0742097,113.712558,11.8271229,43.5619196,45.9439459,57.6136907,0,0.8366653531,1.1032498431,0,21.7284153924,24.2294284581,0,14.9561611906,99.6716152516,34.0068541161,88.1351866558,92.2681181032,50.1613276818,44.4461729067,65.415159232,6.8938813356,"2",0.002,0.998
"8529","Gcnt1",0,0,0,75.748,78.181,40.245,10.441,0,12.788,97.758,46.205,92.132,4.962,0,4.544,13.545,19.361,17.045,0,0,0,18.067,13.56,5.302,0.139,0.863,1.17,21.499,23.971,25.95,14.913,14.655,0,1.709,3.282,7.535,0,29.0036951823,7.4917998845,123.3144830637,66.6186616268,124.0656307187,0,4.9053151542,0,0,92.2184561125,111.3565160287,33.8630368605,78.6072755947,22.7577830339,104.6758198038,88.9008606349,13.8055601894,15.6213794199,68.0010643645,53.7588089149,36.5110138397,45.3863799256,15.3496878,8.729362,55.0238714,77.8399587,76.3990273,103.909751,2.46398395,8.91039264,11.026547,15.7505054,2.4467505522,0,8.8259987445,2.2965962148,3.4308024304,1.0095595191,4.3999850401,0,111.6322090818,92.9983357462,73.1431188226,109.0441395765,51.6366608489,29.6307819378,58.8736433088,167.7511125001,"2",0.002,0.998
"22913","H1f0",16.054,22.348,7.832,100.874,97.81,130.104,13.922,10.31,8.525,158.564,137.283,131.741,10.987,19.198,34.588,88.22,96.376,127.781,40.607,31.749,42.16,146.855,101.213,184.118,21.908,17.863,17.995,78.591,60.974,48.473,34.599,90.746,18.074,55.541,67.82,126.423,48.0300475978,11.1552673778,24.5186178038,97.8429668899,156.9993936429,131.45048969,49.8240785991,35.9723111311,59.4453543456,2.9197165539,89.0817739318,91.990165415,96.3345014135,99.0779202808,146.0077990155,174.1871063923,108.0651180172,98.9398480238,190.0601162751,54.6965082932,149.3689381252,230.2880829631,170.198924721,41.6634384,3.96789182,99.8107435,89.2525842,161.154198,115.67312,95.1097803,72.2731847,73.5103135,86.2132925,17.9428373824,9.2033188841,13.2389981168,11.4829810738,16.0104113418,32.3059046108,25.2999139803,29.9123223812,116.9480285619,163.7881137023,141.7431867866,130.0141664181,82.6186573583,129.6346709779,119.2864668349,165.4531520549,"2",0.002,0.998
"22967","H2afx",73.288,33.615,59.466,116.563,106.488,168.812,59.747,29.9,26.108,241.353,205.257,231.192,56.174,49.146,50.242,87.631,120.327,128.345,54.845,42.679,29.955,125.081,129.3,157.127,40.073,39.867,42.198,148.821,53.992,105.923,31.616,54.673,51.964,53.832,68.914,95.445,61.9053946816,73.6247646936,29.967199538,296.7633789139,103.9590579527,112.2498563645,24.3819959102,31.0669959768,126.0651480087,67.1534807401,137.3866795145,207.7481247651,211.9359031097,172.7722411507,86.4284344435,132.4803344392,138.9408660221,176.0208924144,98.0675485803,121.2192886497,100.6883228863,101.9463373447,102.7497212205,13.1568753,39.6789182,145.87724,128.172564,128.923359,122.535084,58.6428179,121.775366,140.282182,157.090567,34.2545077301,64.4232321889,20.9617470182,9.186384859,50.3184356456,49.4684164352,17.5999401602,49.4703793228,196.0208433282,221.3915604704,208.9803394931,250.7083209067,197.6946443931,144.4500619469,205.4805589995,225.2001236303,"2",0.002,0.998
"24733","Kpna2",8.376,17.361,51.054,111.293,115.923,94.774,23.203,14.435,21.313,160.902,207.035,309.978,40.048,24.317,8.584,77.266,74.864,134.78,19.512,6.246,31.065,49.569,28.088,162.429,14.005,25.413,38.149,137.832,51.665,91.56,28.037,23.109,45.186,123.046,66.726,69.491,12.2743454972,6.6931604267,0,140.2954938462,199.431662195,81.2334486848,12.7210413444,24.5265757712,10.2491990251,0,48.3049055827,67.3420828158,49.0430189014,111.3603070924,62.1364188455,130.8447747548,78.254050978,47.1689973137,59.0141000306,10.3479880555,123.1024191114,116.4875203458,46.8572348306,11.6950002,4.76147018,85.7348694,100.372578,83.5614362,132.337891,95.6025771,88.6089046,90.050134,252.83706,19.5740044172,20.0799684744,40.8202441933,6.8897886443,4.5744032405,0,16.4999439002,1.1504739377,164.1259264477,53.4393421825,137.6544410139,164.9642111542,38.3586623449,88.8923458134,194.3215024246,47.1081891267,"2",0.002,0.998
"25687","Mcm3",25.825,34.538,30.748,116.441,129.066,107.37,65.548,23.199,7.992,239.95,192.373,303.52,20.201,35.324,21.965,65.37,65.111,73.937,26.895,20.819,46.597,65.32,133.659,107.965,37.715,36.373,32.661,40.848,46.545,48.963,68.601,52.982,24.852,131.591,54.693,51.909,67.2420666369,46.2943596179,4.7675090174,164.9583904589,227.8612821249,160.9899255754,68.9056406157,55.593571748,56.370594638,26.2774489853,140.5233616952,138.6454646208,90.4960467824,263.6619035571,122.7386051269,80.9602043795,76.6570295295,109.2940181658,120.6317632979,103.4798805547,116.2731241678,118.7003090634,120.3999800804,43.8562509,28.5688211,143.317991,113.540992,224.422143,136.259014,149.810224,116.330126,180.100268,192.736447,29.3610066258,39.3232715958,16.5487476459,16.0761735033,18.297612962,25.2389879772,72.5997531608,56.3732229492,200.0077079382,180.4445320449,183.9935597711,351.3644497465,181.4659795548,237.0462555025,213.5612551399,71.2367738014,"2",0.002,0.998
"25792","Melk",0,0,0,39.345,15.501,18.125,17.982,1.547,8.525,46.306,55.535,43.914,0.886,0,11.866,23.91,4.589,26.301,11.075,0.52,1.109,16.678,10.654,19.761,4.992,0.992,0.54,10.033,6.051,11.261,15.51,7.327,0.565,5.981,5.469,0,9.072342324,0,37.4589994225,77.627477863,26.7323291878,31.7548935768,0,5.7228676799,9.2242791226,2.9197165539,42.0315412213,58.0990518411,11.6769092622,26.2024251982,2.3013488461,0,6.920426277,28.7615837278,31.2427588397,0,32.7455937039,31.1370983828,16.179403955,0,0,6.39812458,18.4357797,101.467458,25.4872975,15.7694973,10.8904799,36.1425708,12.8490965,17.1272538651,0,14.3422479598,0,0,0,1.09999626,0,43.1910332757,26.3726623758,34.9814916108,27.4940351924,104.748654865,22.2230864534,40.7882757564,43.6612484589,"2",0.002,0.998
"27543","Mxd3",8.376,2.586,1.45,27.946,37.069,35.329,11.021,22.167,11.722,79.983,88.412,81.8,3.721,2.56,7.322,13.898,23.664,23.479,10.02,7.807,26.072,46.326,35.836,12.532,4.298,4.315,9.897,66.169,13.731,23.665,8.948,18.036,3.389,0.854,65.632,34.327,0.5336671955,60.2384438402,0,89.7567712791,83.1672463622,79.7564768906,9.5407810083,3.2702101028,61.4951941506,0,40.1495319129,142.6067636099,50.7945552907,105.6285265803,5.881224829,35.1645332154,50.0400053873,13.8055601894,30.3749044275,16.2611240872,20.1376645773,53.1069292214,20.59196867,0,0.79357836,35.8294977,30.1410366,56.1055357,32.3492622,43.3661175,29.7013088,73.5103135,33.5734456,20.3895879346,31.7932834179,7.7227489014,18.372769718,11.4360081013,11.1051547099,29.6998990203,3.4514218132,100.3360926866,120.7590329839,95.8583731153,86.2101103489,79.6679910241,133.3385187202,81.1917564586,48.2571693493,"2",0.002,0.998
