"Feature ID"	"LNTcon1"	"LNTcon2"	"LNTcon3"	"LNTfh1"	"LNTfh2"	"LNTfh3"	"LNTreg1"	"LNTreg2"	"LNTreg3"	"LNTfr1"	"LNTfr2"	"LNTfr3"	"SpleenTcon1"	"SpleenTcon2"	"SpleenTcon3"	"SpleenTfh1"	"SpleenTfh2"	"SpleenTfh3"	"SpleenTreg1"	"SpleenTreg2"	"SpleenTreg3"	"SpleenTfr1"	"SpleenTfr2"	"SpleenTfr3"	"BloodTcon1"	"BloodTcon2"	"BloodTcon3"	"BloodTfh1"	"BloodTfh2"	"BloodTfh3"	"BloodTreg1"	"BloodTreg2"	"BloodTreg3"	"BloodTfr1"	"BloodTfr2"	"BloodTfr3"	"EZH2EXP_F_p_Treg_1"	"EZH2EXP_F_p_Treg_2"	"EZH2EXP_F_p_Treg_3"	"EZH2EXP_F_p_Tfr_1"	"EZH2EXP_F_p_Tfr_2"	"EZH2EXP_F_p_Tfr_3"	"FoxDownFoxP_Tfr_1"	"FoxDownFoxP_Tfr_2"	"FoxDownFoxP_Tfr_3"	"FoxDownFoxMTfr_1"	"FoxDownFoxMTfr_2"	"FoxDownFoxMTfr_3"	"FoxDown_Tfh_1"	"FoxDown_Tfh_2"	"FoxDown_Tfh_3"	"HDM_OVA_Tcon_1"	"HDM_OVA_Tcon_2"	"HDM_OVA_Tfh_1"	"HDM_OVA_Tfh_2"	"HDM_OVA_Tfr_1"	"HDM_OVA_Tfr_2"	"HDM_Tfh_1"	"HDM_Tfh_2"	"HDM_Tfr_1"	"HDM_Tfr_2"	"FoxF_CreN_Tcon_1"	"FoxF_CreN_Tcon_2"	"FoxF_CreN_Tcon_3"	"FoxF_CreN_Tcon_4"	"FoxF_CreN_Treg_1"	"FoxF_CreN_Treg_2"	"FoxF_CreN_Treg_3"	"FoxF_CreN_Treg_4"	"FoxF_CreN_ICOS_1"	"FoxF_CreN_ICOS_2"	"FoxF_CreN_ICOS_3"	"FoxF_CreN_ICOS_4"	"FoxF_CreN_Tfr_1"	"FoxF_CreN_Tfr_2"	"FoxF_CreN_Tfr_3"	"FoxF_CreN_Tfr_4"	"LN_tfr_treg"	"LN_tfr_tfh"	"LN_tfr_tcon"	"SP_tfr_treg"	"SP_tfr_tfh"	"SP_tfr_tcon"	"BL_tfr_treg"	"BL_tfr_tfh"	"BL_tfr_tcon"	"diffexpressed_FC"
"Dab2ip"	0	0	0	0.735	5.729	3.84	14.502	0	2.131	10.29	15.55	5.166	0	0	5.302	2.709	0	4.064	2.637	13.012	0	4.633	0	25.063	0	1.467	0.99	0.717	0	0	0	11.273	1.694	44.433	25.159	0	0.5336671955	0	0	16.576701002	2.9702587986	8.8618307656	5.881224829	22.8978355821	10.114469174	0	0	32.5222481743	13.3083696337	18.4925914253	0.6303663879	0	0	0	9.36420556	7.16240881	6.86196472	2.95678074	7.4253272	13.4768908	0.41448698	0	0	0	0	0	0	0	0	7.9737292201	0	0	0.4660005965	0	12.9634670978	3.4631554888	0	"4.82871891130924"	"2.6796875"	"Inf"	"1.75692074326887"	"1.71022517534145"	"Inf"	"14.8518299881936"	"Inf"	"25.4131313131313"	"UP"
"Psat1"	6.98	3.325	11.893	129.556	139.091	97.386	8.121	32.478	37.297	98.225	156.387	167.044	18.252	17.918	43.93	68.904	66.545	89.402	49.044	17.696	66.013	124.155	154.967	108.928	29.396	23.256	25.463	32.01	36.77	38.354	5.965	21.982	27.112	0.854	22.971	46.048	59.7707258995	26.2148783379	33.3725631218	158.4894339704	114.9914477763	208.9915088892	48.3283257687	9.8133581066	69.2042627697	18.4074135858	35.5820309008	14.7828400792	68.6431696894	47.5749574275	15.9692818257	19.7353129	13.4908322	109.40793	95.1052127	105.048663	67.6393665	67.5131601	66.8279448	117.003916	153.774671	29.3610066258	20.9166338276	48.5429930948	0	28.5900202532	24.2294284581	32.9998878004	10.3542654396	143.5271259623	179.056497183	162.1869156501	122.5581568744	172.6139805522	55.5577161334	159.689947537	135.5796662672	"4.81516719009791"	"1.20709963259131"	"22.4050143266476"	"2.53150232444336"	"1.80185475444096"	"6.80226824457594"	"1.04499135656446"	"-1.6007139436681"	"-1.1084846110313"	"UP"
"Chaf1b"	9.074	22.533	20.596	28.313	14.659	10.752	3.48	3.609	31.969	17.306	16.883	36.164	16.657	11.263	12.371	10.483	18.071	19.754	15.293	19.258	16.642	28.722	49.396	11.086	20.938	10.398	6.118	2.867	7.214	10.119	6.562	6.2	2.824	0	30.628	9.21	14.4090142793	10.5975040089	27.2429086709	50.1344127865	54.7376264322	0	35.287348974	0	61.219155527	13.8055601894	0.8678544122	100.5233125388	5.4284139295	27.8179153065	17.0198924721	2.19281255	6.34862691	50.5451842	22.2399882	15.5185524	21.5661748	14.7839037	28.2162433	19.6027503	26.9416539	3.2623340695	10.0399842372	6.6194990584	22.9659621475	0	0	0	27.6113745057	33.2238717505	68.7077256632	40.8874577269	41.0080524903	32.4573296765	50.0019445201	32.3227845617	52.8530902398	"4.79523413688002"	"1.18057166245992"	"-1.19010747717555"	"1.72587429395505"	"1.58939737701289"	"2.32172015196831"	"1.48548387096774"	"1.27668422511783"	"-1.12899022801303"	"UP"
"Cdkal1"	46.067	52.454	45.542	30.152	22.747	40.245	32.484	11.342	3.197	31.339	54.202	57.26	22.682	37.371	17.673	28.504	44.029	48.765	22.676	17.696	31.62	45.4	27.603	51.09	20.938	36.157	38.329	57.808	54.225	44.556	39.371	45.091	27.677	41.87	1.094	72.84	91.2570904358	65.2583141602	17.7078906361	25.8758259543	11.8810351946	0	22.2463721792	9.8133581066	26.0846836593	71.3287276451	0	0	22.7643164786	22.7601125235	38.4523496592	40.9325008	19.8394591	40.3081849	63.5010189	38.1995137	23.5267362	35.4813688	109.894843	64.3215243	47.6660031	40.7791758692	49.363255833	90.4664871311	25.2625583623	11.4360081013	58.554452107	40.6998616205	28.7618484435	17.9408907453	45.1111330112	71.3258984792	35.882045929	10.3273321698	24.0750103245	30.0140142359	60.895951798	"4.77887497795803"	"1.79762536481825"	"1.17659061801289"	"2.0021167754454"	"1.03113856776216"	"2.00158716162596"	"1.06347311472912"	"-1.29508000955338"	"1.15800536548939"	"UP"
"Parpbp"	0	0	0	6.864	11.71	19.969	15.662	0	7.992	20.113	37.764	45.636	0	0	0	4.594	4.303	20.319	0	0	0.555	7.412	0	0	0	0.086	0	2.389	6.982	0.163	2.386	0	0	1.709	0	0	0	0	0	2.0215489027	7.2134856539	9.6003166628	7.1597519657	15.5378170021	20.7612788309	0	0	0	1.5759911408	7.7447605115	2.7315876807	1.46187503	0	6.39812458	4.68210278	0	30.3887009	5.91356147	8.91039264	3.67551567	15.3360184	0	0.8366653531	0	0	0	4.0382380763	0	0	29.9014845755	30.5367669614	9.5404068029	38.6780495079	11.8026653369	3.7038477422	38.8643004849	1.1489802226	"4.72522522522523"	"3.22493595217763"	"Inf"	"NaN"	"-Inf"	"NaN"	"NaN"	"-Inf"	"NaN"	"UP"
"Gltpd1"	2.792	22.533	0.29	10.664	12.132	23.348	11.021	4.124	3.73	19.177	19.993	0	3.19	1.28	5.302	9.069	6.741	4.515	0	16.135	0	12.508	16.465	0	4.714	2.503	2.609	12.899	16.989	0	0	9.018	0	0	0	0	0	1.1155267378	19.0700360696	0	2.5459361131	36.9242948567	8.9496899572	0	0	26.4606570296	1.7357088244	0	2.4515417746	6.9544788266	13.0275720157	2.92375006	0	1.91943737	14.9242026	0	0	0	1.48506544	0	24.040245	5.7090846217	8.366653531	0	0	0	20.1911903817	5.4999813001	0	8.6382066551	7.6341917404	7.7231864595	16.3100208768	0	9.2596193556	15.0070071179	20.6816440069	"4.65009699321048"	"1.58069568084405"	"6.86855300859599"	"Inf"	"1.85551105177273"	"3.92100313479624"	"NaN"	"-Inf"	"-Inf"	"UP"
"Txn1"	60.725	108.416	142.139	224.669	203.961	342.847	89.33	170.123	85.25	414.885	430.063	372.834	125.637	106.994	112.349	240.632	235.06	263.238	110.745	187.371	254.067	289.54	306.544	347.993	137.828	122.709	131.363	275.904	252.971	173.492	164.047	186.001	185.263	449.459	235.181	230.241	54.9677211397	93.1464826048	120.5498708686	337.1943569675	456.1468869354	359.6426319047	310.6820942274	508.6590618593	386.4791905444	368.1482717164	374.913106077	412.4412382107	293.6596825744	330.0216315903	353.2152993284	81.1340642	93.6422469	279.598044	228.837773	341.408153	250.951853	231.614491	170.287504	240.746277	402.052374	103.5791067077	187.4130390949	81.6404883866	112.5332145228	150.9553069367	233.2082489089	290.3990126434	188.6777257891	477.7592757728	807.8362896163	707.8073237614	674.3028631077	687.5052558744	412.9790232583	494.8464398377	585.9799135277	"4.64440837344677"	"1.84664996060872"	"3.82678755903188"	"1.63602691985419"	"1.27391203164999"	"2.72849780594398"	"1.26944397963976"	"-1.07564386578848"	"1.79031386311214"	"UP"
"Anxa2"	8.376	4.433	10.443	61.652	92.082	84.636	40.605	22.683	43.158	188.499	201.703	182.973	20.733	26.877	12.876	140.163	154.316	157.92	39.552	41.638	64.903	220.977	269.739	186.046	12.757	16.482	30.501	164.109	144.522	219.517	165.836	86.801	28.241	76.049	278.936	196.751	46.4290460112	50.7564665691	0.6810727168	199.3247218045	204.9478571068	98.2186243189	331.64993927	527.4679982303	240.6178982452	263.4561069471	402.6844472679	322.2659137273	253.2092432931	525.8534330943	236.3873954459	25.582813	3.17431346	128.602304	98.9094212	146.829381	209.780064	128.127165	131.18078	119.454259	226.72438	13.0493362781	0.8366653531	11.0324984306	2.2965962148	73.1904518481	59.5640116261	16.4999439002	43.7180096341	318.9491688052	422.6566154436	328.4625770729	444.0985684462	122.4526528703	222.2308645336	216.25482052	349.2899876714	"4.64226080531954"	"2.22717283425493"	"22.5046561604585"	"5.3070992843076"	"1.43197724150445"	"10.6582260164954"	"2.26669047591618"	"1.19890438671858"	"11.9373255672855"	"UP"
"Incenp"	28.617	5.726	26.397	131.394	92.587	70.198	94.551	35.056	38.895	160.902	187.486	179.959	19.67	20.989	18.683	74.204	79.596	130.716	15.293	11.971	58.801	67.637	97.338	136.884	19.412	17.302	16.825	113.228	38.167	78.177	21.475	8.455	59.307	81.176	63.444	3.349	22.4140222123	19.5217179112	40.1832902895	123.3144830637	148.937262618	306.471647311	94.3553026913	82.595764064	117.6472467084	71.3287276451	80.710460336	19.217692103	97.3612304778	76.6573234297	74.383233767	27.7756256	22.2201942	60.7821835	74.0357502	83.5614362	149.982943	141.925475	153.456762	112.103228	128.490965	8.9714186912	13.3866456496	19.8584971751	25.2625583623	9.148806481	48.4588569161	6.5999775601	16.1066351283	185.389204368	138.1094687574	184.9021699428	250.2423203102	299.4926329238	164.8212245291	157.7659722655	170.0490729453	"4.62679007584522"	"1.94367459794572"	"6.81740349282115"	"6.36487281762898"	"1.22290064827378"	"4.94855109303508"	"2.95431897555297"	"-1.2322205409495"	"3.66685932262166"	"UP"
"Ifi30"	49.557	27.52	8.412	118.157	116.345	115.204	1.16	18.559	29.305	67.822	85.302	134.324	40.048	54.009	43.425	81.153	63.247	93.804	30.587	16.135	7.211	44.01	31.478	17.833	38.686	48.41	29.242	75.008	85.177	59.571	34.599	29.873	20.334	67.504	2.188	132.284	13.8753470838	22.3105347556	0	118.4627656972	75.9537607083	73.8485897135	22.5020776066	44.1601114797	34.069790902	31.0625104261	45.1284294352	17.7394080951	19.4372240702	23.3923378713	24.3741669971	24.8518755	30.9495562	54.3840589	112.370467	115.792276	56.8562791	86.2394381	95.5392099	75.3480713	60.9295865	11.4181692434	14.2233110027	59.5754915254	9.186384859	20.5848145823	2.0191190382	38.4998691004	10.3542654396	100.3360926866	74.9538825417	137.2001359281	148.1881896809	224.2506414011	138.8942903335	171.2337991662	186.1347960618	"4.5962605743844"	"-1.36391878267801"	"3.09963662790698"	"1.95091416176015"	"-2.578086282483"	"-1.37953491327276"	"2.2596993941017"	"-1.11116378288694"	"1.74492064312671"	"UP"
"1700017B05Rik"	55.839	70.554	67.298	55.034	31.592	21.966	14.502	35.571	18.116	83.258	97.742	62.426	41.111	67.831	99.473	71.613	18.788	52.377	31.114	16.135	14.978	111.647	49.88	115.676	44.787	36.071	40.669	39.893	34.676	31.989	23.861	24.8	28.241	52.978	60.163	33.49	13.8753470838	11.1552673778	31.3293449715	62.2637062026	91.6537000726	17.7236615312	57.7894265806	191.3604830789	96.3536273947	13.8055601894	47.7319926718	22.1742601189	47.4548443516	51.3683095148	36.5612504956	20.4662504	99.9908738	18.5545613	46.8210278	41.7807181	37.2506656	46.3228982	28.2162433	104.139611	81.2394487	56.2752626995	75.2998817792	108.1184846201	6.8897886443	66.3288469874	30.2867855726	31.8998915404	28.7618484435	57.1450594109	73.5658476798	71.780203565	89.9381151208	35.4079960107	62.9654116179	59.2584383631	25.2775648973	"4.59582689335394"	"2.63541402886807"	"1.23715415019763"	"6.91955376510691"	"2.13160356645092"	"1.64595833763324"	"2.13620967741935"	"1.52780020763641"	"1.3026629619612"	"UP"
"Ehd1"	0	6.095	2.901	8.702	27.886	27.956	14.502	15.981	6.394	32.274	66.642	69.314	4.962	8.447	7.827	28.857	14.485	17.609	8.438	36.954	12.204	25.48	31.962	35.185	6.933	7.939	16.195	11.466	13.498	17.463	10.738	46.219	16.945	38.452	1.094	30.141	26.149692581	6.1353970578	4.7675090174	11.320673855	43.7052366087	128.4965461015	47.816914914	72.7824059574	46.3136220074	66.7268742486	104.1425294658	109.3930165863	65.8414076613	79.3442811582	86.7804393948	0	32.5367129	0	10.8273627	13.1310828	0	15.2767005	47.5220941	42.8810162	38.5472894	0	0.8366653531	0	6.8897886443	2.2872016203	16.1529523054	13.1999551202	1.1504739377	35.8817814906	48.5812201659	85.8636612265	71.764091858	22.1299975067	74.0769548445	30.0140142359	43.6612484589	"4.59536615639222"	"2.38980133400273"	"22.9720785935884"	"2.61897738446411"	"1.81509455392129"	"4.08355691835953"	"1.77875479492476"	"2.23299748110831"	"3.796573875803"	"UP"
"Hat1"	92.832	36.2	28.138	58.956	46.673	34.408	142.116	19.074	13.32	70.161	87.523	97.299	51.035	36.603	42.668	40.4	43.168	72.357	44.826	37.474	54.364	71.806	75.062	41.933	29.396	22.652	19.525	20.782	39.796	57.45	19.089	10.709	39.538	32.47	1.094	57.769	20.8130206257	37.3701457157	34.7347085554	72.3714507161	136.2075820523	25.8470063997	33.7531164099	31.0756340043	31.9404289706	151.861162083	72.8997706261	0	60.7632139853	54.0552672432	33.1992964271	30.6993756	91.2615118	17.2749364	37.4568222	44.1681877	60.7774018	22.6686523	66.8279448	88.2123762	94.9175192	28.5454231084	31.7932834179	56.2657419962	18.372769718	43.4568307848	18.1720713436	2.19999252	54.0722750737	79.7372922013	147.8257127906	102.6729494031	110.9081419624	122.4526528703	72.2250309734	84.270116893	128.6857849316	"4.58860228583412"	"1.87523836050822"	"2.41776243093923"	"1.60188283585419"	"1.6634080800593"	"1.6829005343583"	"1.7009796217717"	"-1.2256236526024"	"1.43342751191948"	"UP"
"Dhfr"	0	0	19.435	26.72	17.018	44.853	0	9.795	36.764	44.903	62.199	17.221	9.037	6.143	0	8.598	29.831	39.96	10.547	0	0	32.892	66.829	38.077	6.517	7.335	20.244	34.637	5.585	1.632	29.23	20.855	0	46.142	0	27.629	43.7607100335	16.1751376978	18.3889633528	77.2231680825	103.1104125817	53.9094704908	36.5658761107	42.5245517953	27.6817051079	1.1504633491	22.5642147176	11.8262720634	24.690527873	39.8301969161	9.6656179471	0	18.2523024	30.0711855	15.5094655	62.0742097	49.0140337	29.0750106	48.0171159	66.1592821	29.8430628	0	0	20.9617470182	13.7795772885	29.7336210633	12.114714229	1.09999626	19.5580569416	81.0662470713	79.1179871274	49.0649492723	82.9481061736	26.555997008	27.7788580667	63.8759790148	39.0653275685	"4.58427769270036"	"1.68050149700599"	"Inf"	"Inf"	"1.27642385437967"	"6.19843724564545"	"1.32481419323903"	"4.94700089525515"	"3.7667348329925"	"UP"
"Ifitm2"	0	0	0	4.167	5.055	9.37	0	3.609	2.664	12.161	0.889	19.374	0.709	0	0	0	1.578	1.016	3.692	0	7.766	12.045	7.264	0	6.517	0.475	0.36	6.927	9.309	3.101	0	0.564	0	24.78	67.82	15.07	14.4090142793	1.1155267378	0	5.6603369275	11.0323898236	16.246689737	12.0181550853	19.6267162132	12.7761715882	28.7615837278	86.7854412215	44.3485202377	39.7499987742	64.3289291462	28.3664874535	0	0	9.59718687	1.46315712	19.0997568	11.7633681	0	0	3.67551567	2.4869219	0	0	11.0324984306	4.5931924295	20.5848145823	14.1338332672	7.6999738201	25.3104266303	37.8752137956	21.5145403592	22.2609492069	21.4360274381	20.6546643396	66.6692593601	63.8759790148	31.0224660103	"4.56493993993994"	"2.40573689416419"	"Inf"	"1.96749729144095"	"7.1496062992126"	"Inf"	"Inf"	"3.57730619315721"	"52.1684210526316"	"UP"
"Fkbp5"	42.577	63.535	88.764	112.518	85.005	99.997	27.263	26.292	53.814	124.419	91.077	134.324	71.236	28.668	23.985	179.267	104.694	99.561	59.064	84.837	31.62	162.606	191.287	235.69	40.35	56.522	48.856	56.614	101.002	51.411	9.545	17.473	45.186	113.646	17.502	169.959	56.5687227263	21.1950080178	71.512635261	127.7618906496	142.1480996496	104.126511496	36.5658761107	18.808936371	47.9106434559	31.0625104261	79.8426059238	26.6091121426	25.39096838	56.5841686347	20.59196867	24.8518755	78.564258	61.421996	36.2862965	82.3677014	31.3689816	103.980123	121.775366	54.5201492	95.3320061	92.9765209817	62.7499014827	35.303994978	43.6353280803	69.7596494177	42.4014998016	42.8998541405	28.7618484435	174.0930879728	170.7282880117	119.0279324939	111.8401431554	165.2373147166	118.5231277513	180.0840854153	93.0673980309	"4.5636577045813"	"1.2442273268198"	"1.95827496655387"	"3.23863944196126"	"1.82710566030527"	"6.67249197711734"	"6.50409202769988"	"2.00738333274455"	"2.3261421319797"	"UP"
"Mapk6"	47.463	24.565	30.458	53.808	75.99	59.906	10.441	18.559	31.436	84.193	75.972	122.269	24.454	26.877	4.797	44.522	50.483	25.06	18.985	13.012	37.167	27.796	51.333	30.365	18.58	36.89	32.031	59.481	43.287	19.585	37.582	25.927	15.815	25.635	61.257	34.327	61.371727486	2.7888168445	0	14.1508423188	71.2862111676	34.7088371653	12.52956594	13.9022573177	17.034895451	16.1064868876	19.0927970687	60.6096443249	12.9581493801	25.130957578	19.7514801528	46.780001	3.17431346	14.0758741	47.6989221	79.9802318	100.968909	46.3228982	36.6316142	71.6725557	46.8370291	80.742768221	12.5499802965	23.1682467043	2.2965962148	0	37.3537022062	7.6999738201	24.1599526925	33.2238717505	20.1265054973	41.3417628128	104.3841336117	106.2239880321	88.8923458134	77.7286009698	86.1735166953	"4.5365051996336"	"1.40541848896605"	"2.76423271390111"	"1.59942059520674"	"-1.46622756463033"	"1.24171914615196"	"1.32398657769892"	"-1.26101902292656"	"1.07168055945802"	"UP"
"Tfeb"	0	14.96	9.573	32.358	20.388	20.122	0	3.609	15.452	16.371	2.666	24.97	11.164	4.351	14.138	8.009	21.943	36.573	0	10.93	21.08	23.627	32.93	17.351	10.399	10.744	12.506	5.494	3.956	32.152	12.527	24.237	0	5.127	15.314	15.908	39.4913724693	11.1552673778	10.8971634683	0	18.6701981629	0	3.5798759829	0	17.5672359338	0	0	7.3914200396	15.935021535	22.2859435126	1.8910991636	2.19281255	11.1100971	31.3508105	18.7284111	16.7122872	0	13.3055133	10.8904799	26.3411957	10.3621746	10.602585726	10.8766495903	22.0649968613	0	0	7.0669166336	8.7999700801	0	6.6447743501	36.7829238399	15.4463729191	7.4560095437	33.9326628436	27.7788580667	32.3227845617	5.744901113	"4.53615960099751"	"-1.24537291552135"	"1.71012221874021"	"2.16166514181153"	"1.07674429202935"	"2.11635614475099"	"1.2224794444001"	"2.78740444120859"	"1.42535368577811"	"UP"
"Bhlhe40"	0	4.433	0	23.166	19.545	1.382	0	3.609	11.722	11.226	21.325	16.36	7.974	9.471	2.02	26.501	22.947	22.689	1.055	7.807	17.197	50.496	61.987	71.816	10.954	17.302	2.609	0	4.422	20.564	0	5.073	0	17.944	1.094	0.837	33.6210333184	20.637244649	0	19.8111792463	8.0621310249	18.4621474284	172.856868887	71.9646261151	194.8366167207	430.2732925686	229.1135648248	73.9142003962	418.8634232069	551.1424470092	402.8041218397	0	0	10.8768118	8.77894271	0	25.4872975	19.7118716	13.8606108	2.45034378	2.90140888	0.8155835174	0	4.4129993723	0	8.0052056709	14.1338332672	13.1999551202	25.3104266303	29.2370071405	24.290610083	22.7152542927	61.046078139	14.7533316711	35.1865535512	40.7882757564	10.3408220034	"4.53311166528124"	"-1.19468215158924"	"Inf"	"7.93992570769822"	"2.7013117183074"	"7.7736393278154"	"Inf"	"-4.04204753199269"	"-10.0127970749543"	"UP"
"Gadd45b"	32.107	10.158	9.863	70.968	51.138	63.9	30.163	16.497	14.919	78.112	74.639	37.456	8.329	9.471	15.653	78.797	34.563	68.519	23.204	35.392	1.109	53.275	143.829	92.059	8.181	16.309	12.057	44.192	27.229	8.977	1.193	38.891	9.037	43.579	79.852	41.862	14.9426814749	85.3377954403	0.6810727168	78.8404072046	18.6701981629	100.4340820103	81.3143258966	51.5201300597	90.4978820834	27.6111203787	39.9213029619	1.4782840079	67.9427291824	65.7514361789	64.9277379491	0	23.0137726	63.3414334	66.7199646	68.0428837	98.0280674	5.42076468	52.4723122	42.2684303	36.4748545	56.2752626995	0	6.6194990584	0	30.8772218734	5.0477975954	7.6999738201	12.6552133151	72.4280404162	99.2444926247	57.2424408177	47.532060841	109.1746543663	12.9634670978	88.5028624904	41.3632880137	"4.52439837546221"	"1.16805946791862"	"7.3478046859618"	"3.96737631442855"	"1.34355434259111"	"9.72009291521487"	"4.82228615691048"	"1.60046274192956"	"3.61441486273534"	"UP"
"Kif20b"	85.852	13.852	13.344	23.043	19.882	18.433	15.662	32.993	12.788	65.951	70.641	79.647	2.126	3.072	16.663	16.49	2.438	31.381	18.985	0	14.423	5.096	43.1	91.095	8.874	8.759	10.977	16.96	8.611	34.437	13.72	9.018	19.769	11.963	60.163	56.095	7.4713407374	0.5577633689	25.8807632373	65.0938746664	49.645754206	11.077288457	39.1229303842	118.5780771215	79.8510724265	52.9213140592	70.2962073894	59.1313603169	38.6993380137	43.4654926663	55.8924863899	32.8921882	34.917448	38.3887475	72.8652245	60.8804749	19.6056135	98.5593579	139.101129	124.354947	79.1670138	15.4960868303	21.7532991807	17.651997489	41.3387318655	24.0156170127	23.219868939	38.4998691004	0	77.7438598963	117.2889458292	63.6027120196	68.9680882792	41.3093286791	11.1115432267	37.709915322	62.0449320206	"4.51034350657643"	"3.55301277537471"	"5.09969679468669"	"2.98828260417389"	"2.6137052759248"	"14.0299479166667"	"4.08855685131195"	"3.30748820754717"	"6.32127563669146"	"UP"
"Nup93"	4.188	31.398	18.855	60.059	48.189	43.009	16.242	13.404	43.691	40.693	72.862	119.686	17.72	40.443	18.178	39.693	39.44	48.2	32.169	0.52	22.189	76.439	28.088	48.68	21.631	20.322	34.01	22.932	21.876	56.634	62.04	1.691	23.158	64.941	49.224	31.815	21.3466878212	64.1427874224	53.804744625	66.7111137885	109.89957555	18.4621474284	13.2966822221	26.9867347932	0.5323404828	55.2222407575	45.1284294352	53.2182242852	44.1277519432	35.246563144	23.1134342214	0	10.3165187	43.5072472	40.3831365	33.4245745	25.4872975	51.7436629	25.2461125	10.4139611	74.607657	34.2545077301	36.8132755365	56.2657419962	89.5672523753	56.0364396962	99.9463923895	12.0999588601	21.859004817	53.1581948009	64.5436210776	103.127254489	95.5301222786	110.6499875334	66.6692593601	131.2151135184	66.640852911	"4.48602388868366"	"1.51200481437672"	"3.86433306815168"	"2.19387985037631"	"1.22641271760764"	"2.67796237209814"	"2.1255721564902"	"2.14652014652015"	"2.27562294854607"	"UP"
"Gm10143"	30.013	4.063	10.153	27.333	28.307	12.288	30.744	8.248	10.656	47.709	32.877	57.69	13.29	2.816	8.836	14.252	14.915	12.643	1.055	0	16.642	12.045	22.276	16.387	8.042	5.825	8.548	8.122	5.585	5.712	5.965	7.327	3.389	15.381	29.534	27.629	5.8703391508	16.7329010667	0	1.6172391221	27.1566518734	31.7548935768	28.6390078629	26.9867347932	28.7463860735	16.1064868876	24.299923542	25.1308281347	15.5848012815	25.7631829259	20.59196867	7.30937515	6.34862691	13.4360616	29.8484052	7.16240881	15.6844908	19.7118716	20.2958943	20.2153362	26.1126799	10.602585726	0	1.1032498431	18.372769718	3.4308024304	2.0191190382	14.2999513802	16.1066351283	29.9014845755	43.0290807184	32.2556610957	54.0560691918	23.6053306738	29.6307819378	44.2514312452	2.2979604452	"4.47719594594595"	"1.74547250576227"	"4.69900522013198"	"15.5327014218009"	"1.14980353634578"	"1.85457220461747"	"4.63185247275775"	"4.83700980392157"	"3.43558816214872"	"UP"
"Matk"	39.087	29.921	42.352	80.405	70.936	76.035	5.221	15.466	25.575	68.758	90.189	53.816	21.619	17.662	15.401	128.502	67.549	94.933	6.328	28.626	43.824	106.088	132.206	95.433	33.833	28.822	34.01	69.274	77.032	109.513	72.777	38.891	19.204	54.687	165.174	63.63	13.8753470838	0.5577633689	1.3621454335	40.4309780537	28.0052972444	18.4621474284	148.3091478617	131.662554597	196.4336381692	39.1157538699	38.1855941375	25.1308281347	23.4647569857	30.030704024	22.6931899628	14.6187503	22.2201942	53.104434	43.3094507	10.7436132	77.4421732	37.452556	107.914755	93.1130638	101.963798	10.602585726	20.0799684744	26.4779962335	59.7115015835	17.1540121519	47.4492973971	28.5999027603	20.7085308793	124.921757782	72.8718302489	75.8689493377	45.2020578586	113.6006538677	35.1865535512	68.8783147208	105.7061804795	"4.44575197206776"	"-1.10583495738678"	"1.7591014915445"	"3.70600153706421"	"1.11750392381996"	"6.00656777261918"	"1.63611118253581"	"-1.21062391953481"	"1.88070818431709"	"UP"
"Tnfrsf1b"	0	31.214	17.405	28.191	37.321	22.887	100.352	91.248	60.208	459.32	391.411	403.832	17.898	26.621	37.113	49.587	41.591	41.54	132.895	47.363	191.937	402.114	471.68	343.173	23.572	31.756	12.866	30.815	26.065	21.054	69.198	87.364	76.252	153.807	369.727	131.446	61.9053946816	73.6247646936	42.9075811566	233.6910531502	186.7019816294	293.1789011625	358.4990091415	396.6232234755	321.0013111546	112.7454082132	71.1640618016	155.219820832	77.3986760274	84.0859712673	54.8418757434	29.9684381	11.9036755	44.7868721	23.7031453	219.647204	177.430802	24.6398395	30.1963306	222.981284	246.205268	17.9428373824	66.9332282482	24.2714965474	27.559154577	124.6524883038	76.7265234506	106.6996372212	116.1978677116	451.1801783723	368.5232558301	370.7129500573	338.7824336415	162.2866483824	187.0443109825	333.6173120834	189.5817367296	"4.42565316500088"	"14.324855450321"	"23.2020683711577"	"3.02580232514391"	"9.66829362121613"	"15.1051425566282"	"2.01708807637832"	"5.90090159217341"	"6.5249872730358"	"UP"
