"","Feature.ID","LNTcon1","LNTcon2","LNTcon3","LNTfh1","LNTfh2","LNTfh3","LNTreg1","LNTreg2","LNTreg3","LNTfr1","LNTfr2","LNTfr3","SpleenTcon1","SpleenTcon2","SpleenTcon3","SpleenTfh1","SpleenTfh2","SpleenTfh3","SpleenTreg1","SpleenTreg2","SpleenTreg3","SpleenTfr1","SpleenTfr2","SpleenTfr3","BloodTcon1","BloodTcon2","BloodTcon3","BloodTfh1","BloodTfh2","BloodTfh3","BloodTreg1","BloodTreg2","BloodTreg3","BloodTfr1","BloodTfr2","BloodTfr3","EZH2EXP_F_p_Treg_1","EZH2EXP_F_p_Treg_2","EZH2EXP_F_p_Treg_3","EZH2EXP_F_p_Tfr_1","EZH2EXP_F_p_Tfr_2","EZH2EXP_F_p_Tfr_3","BlimpEXP_F_p_Treg_1","BlimpEXP_F_p_Treg_2","BlimpEXP_F_p_Treg_3","BlimpEXP_F_p_Treg_4","BlimpEXP_F_p_Tfr_1","BlimpEXP_F_p_Tfr_2","BlimpEXP_F_p_Tfr_3","BlimpEXP_F_p_Tfr_4","FoxDownFoxP_Tfr_1","FoxDownFoxP_Tfr_2","FoxDownFoxP_Tfr_3","FoxDownFoxMTfr_1","FoxDownFoxMTfr_2","FoxDownFoxMTfr_3","FoxDown_Tfh_1","FoxDown_Tfh_2","FoxDown_Tfh_3","HDM_OVA_Tcon_1","HDM_OVA_Tcon_2","HDM_OVA_Tfh_1","HDM_OVA_Tfh_2","HDM_OVA_Tfr_1","HDM_OVA_Tfr_2","HDM_Tfh_1","HDM_Tfh_2","HDM_Tfr_1","HDM_Tfr_2","FoxF_CreN_Tcon_1","FoxF_CreN_Tcon_2","FoxF_CreN_Tcon_3","FoxF_CreN_Tcon_4","FoxF_CreN_Treg_1","FoxF_CreN_Treg_2","FoxF_CreN_Treg_3","FoxF_CreN_Treg_4","FoxF_CreN_ICOS_1","FoxF_CreN_ICOS_2","FoxF_CreN_ICOS_3","FoxF_CreN_ICOS_4","FoxF_CreN_Tfr_1","FoxF_CreN_Tfr_2","FoxF_CreN_Tfr_3","FoxF_CreN_Tfr_4","rfTestPred","X1","X2"
"34294","Smtn",16.054,1.293,2.031,152.231,95.451,91.242,6.381,0,0,7.484,7.108,21.957,0.886,3.84,0.252,61.248,75.724,52.602,0,0,7.211,8.339,0,0,14.143,0.69,0.99,48.731,43.519,59.735,0,0,0,17.09,0,0,0,0,0,0,11.0323898236,48.7400692109,0,0,0,0,15.0560744673,17.165628953,19.8507457458,13.1012125991,5.3698139743,0,7.4527667598,5.7523167456,1.7357088244,73.9142003962,4.7279734225,5.3739154569,15.7591596964,2.92375006,0,109.40793,83.3999558,1.1937348,15.6844908,139.954288,68.808032,39.2055005,20.3098622,0,0,0,0,1.1436008101,0,0,0,32.5593943155,20.8205229283,40.4331526411,17.7080226663,23.6053306738,38.8904012934,13.4678269007,9.1918417808,"2",0.186,0.814
"3430","Atp6v0e",175.892,172.875,132.566,189.002,176.497,185.862,156.618,144.346,159.845,231.531,173.269,172.21,177.204,209.381,187.081,258.771,180.992,205.104,144.496,111.902,123.15,224.683,184.023,175.924,159.459,163.18,171.312,177.486,167.328,159.945,190.294,211.929,122.003,191.404,185.957,346.617,61.9053946816,176.2532245695,107.6094892499,210.6453956596,165.0615246678,278.4091832198,153.712582912,167.5982677697,197.8095411844,242.3364739751,162.4801369601,190.582495812,116.1852471593,143.2945128028,249.5684970914,352.4631119958,191.1102333408,197.8796960476,181.381572153,264.6128374183,182.4647520826,232.3428153437,209.4917628973,96.483752,181.729445,227.133423,144.267292,133.698298,248.991291,188.74117,114.350039,208.891808,176.571455,161.4855364419,188.249704448,158.867977401,135.4991766703,196.6993393418,96.9177138323,233.1992071227,143.8092422173,165.4548813177,157.5419568238,222.6094920687,187.7982403817,357.0306264412,142.5981380757,220.8723611717,152.8143696063,"2",0.187,0.813
"6624","Dlst",21.638,47.282,51.344,76.115,72.536,94.006,41.185,105.167,43.691,66.887,121.733,96.007,108.626,59.64,71.954,67.255,80.744,103.512,33.751,53.609,71.006,45.863,135.596,98.325,53.661,76.628,66.491,54.464,63.301,68.221,26.248,77.219,72.863,140.99,56.881,115.539,17.077350257,97.6085895559,112.3769982674,48.9214834449,67.4673069979,37.6627807539,137.8112812315,49.0531515424,91.2178713234,52.5548979705,100.3738297823,83.1872787725,33.2791913974,66.324888783,103.3049926485,40.8889921109,72.9306461496,23.0092669823,71.1640618016,187.7420690063,94.3843583229,65.5933798419,49.1685782527,53.3584386,73.8027878,30.710998,80.1810101,139.666972,52.9351564,50.7580693,70.2930975,81.4739308,55.5412558,127.2310287118,40.1599369489,98.1892360326,27.559154577,44.6004315949,51.4875354734,18.6999364202,83.9845974549,63.125356326,55.5213944753,121.2994579232,78.2881002088,165.2373147166,188.8962348536,75.419830644,47.1081891267,"2",0.187,0.813
"37028","Ube2q1",214.281,173.06,191.452,234.72,230.499,249.762,110.793,173.216,149.188,206.273,189.708,186.417,189.254,197.863,183.294,199.055,180.848,210.748,136.059,119.709,165.31,152.877,168.042,220.749,153.635,160.764,131.003,162.676,212.477,200.747,244.579,126.819,190.911,55.541,88.603,218.519,209.7312078436,219.2010039741,155.284579424,141.1041134073,102.2617672106,265.1164370714,85.867029075,212.5636566835,140.4140266438,64.2337641862,175.654202119,184.8606194943,115.0175562331,117.910913392,197.4045899124,124.3025360171,244.3442816252,189.8264526038,141.4602691911,66.5227803566,169.6817128292,172.2814072957,175.6621000824,113.295315,218.23405,140.758741,226.789353,180.253955,193.115293,121.720807,191.07842,110.878056,133.464809,180.2439573417,198.2896886852,165.4874764594,87.2706561605,205.8481458228,109.0324280613,119.8995923414,274.9632711195,202.0011402433,304.6736521834,215.7949157809,204.1082612586,218.3493087326,177.7846916269,185.4712161756,263.1164709762,"2",0.187,0.813
"37336","Vbp1",30.711,30.659,38.581,98.913,56.024,80.182,27.263,76.813,74.061,71.564,82.192,71.898,62.907,108.53,69.429,67.019,76.728,85.338,61.701,67.141,48.262,40.767,115.257,49.162,57.682,71.839,41.298,95.79,69.817,33.948,39.371,64.819,63.825,38.452,64.538,89.585,40.0250396648,80.8756884892,28.6050541044,98.2472766704,75.1051153373,11.8157743542,16.9613884593,43.3302838624,11.2741189276,20.4380158774,74.0256994644,36.0918352346,34.4468823236,133.4686033534,56.2551940165,84.2313237484,34.6021313848,17.2569502367,37.3177397253,22.1742601189,97.3612304778,69.0706192552,37.1916168835,29.2375006,37.2981831,46.7063094,77.2546959,72.8178229,50.974595,76.3835023,30.6913524,50.2320476,114.812894,61.1687638038,21.7532991807,98.1892360326,73.491078872,64.0416453671,43.4110593207,81.3997232409,40.2665878209,85.7175891164,38.8649761327,51.7907797874,127.6841634357,45.7353281805,31.4827058089,66.9543394493,49.4061495719,"2",0.187,0.813
"38844","Zmpste24",41.181,50.607,22.336,66.31,41.365,61.749,90.49,35.571,23.444,79.516,98.186,65.009,59.363,27.9,28.024,42.52,25.241,62.31,23.204,57.252,39.386,42.157,100.244,31.329,55.187,60.837,26.543,27.949,62.37,73.444,60.846,16.346,37.279,29.052,76.571,0,40.0250396648,84.2222687025,51.7615264747,65.9024942275,40.73497781,64.9867589479,36.0429504759,33.5196535539,160.912424694,49.6351814166,48.3049055827,55.0180415162,56.6330099219,59.7742824834,62.9035351275,78.5068648529,64.9455389069,105.8426281185,57.2783912062,70.9576323803,83.0022000836,85.6665346369,71.0212796984,59.9368762,39.6789182,51.1849967,125.831512,69.2366185,61.7576825,73.9195184,56.4324867,74.7354854,53.8833078,87.26743636,49.363255833,62.8852410546,68.8978864425,124.6524883038,41.3919402825,71.4997569008,37.9656399454,65.1187886311,70.0957605251,89.9524069992,86.6761109454,97.3719890294,35.1865535512,70.8022899923,52.8530902398,"2",0.187,0.813
"5004","Cenpc1",1.396,7.942,41.481,34.932,16.849,26.574,11.601,17.012,25.042,11.226,26.213,35.303,2.126,17.662,18.935,22.732,36.284,24.382,42.189,4.164,19.416,41.231,19.371,26.991,11.509,11.218,12.506,28.665,10.938,23.013,45.337,30.437,3.389,9.399,62.35,17.582,14.4090142793,0,0.6810727168,11.320673855,6.7891629683,9.6003166628,1.0600867787,0.8175525257,7.1744393176,5.8394331078,31.366821807,29.9298145848,81.1545193726,31.1153799229,24.292015598,19.6267162132,3.7263833799,25.3101936805,0,5.9131360317,34.846915225,29.8726476871,26.6855104192,19.0043754,11.9036755,32.6304354,50.0399735,79.9802318,26.4675782,68.4987537,56.4324867,48.3942897,42.2776723,12.2337527608,35.9766101834,41.9234940364,18.372769718,6.8616048608,15.1433927863,9.8999663401,13.8056872529,28.5725297055,44.4171155803,16.3549830908,31.6880405607,84.0939905254,111.1154322668,55.7952828744,11.489802226,"2",0.188,0.812
"5448","Cnot6",173.798,152.928,168.246,205.303,187.28,187.552,168.219,284.053,167.837,196.918,231.026,335.809,228.061,155.628,119.166,104.828,178.697,173.949,175.083,327.379,209.688,249.236,285.236,202.433,239.743,169.005,189.487,175.575,170.819,262.441,198.646,198.965,210.68,303.342,261.434,253.683,190.5191888045,253.2245694764,89.9015986139,217.1143521482,479.0603119536,232.6230575975,145.2318886824,142.2541394728,290.0523324102,166.4238435733,227.7231263186,352.5556100356,210.7682121835,301.3278897795,229.1120629035,247.7872921919,202.2893834805,170.2685756689,128.4424530079,167.0460928954,218.8876584484,192.5126184277,273.9992565879,158.613441,182.523024,260.40367,232.056719,311.564783,339.177113,302.577229,224.739903,215.630253,267.758591,187.5842089982,104.5831691378,306.7034563714,204.3970631128,176.1145247595,258.4472368861,174.899405342,194.4300954778,304.3306652349,208.8992467135,301.6585770074,269.3483447659,293.5913002554,205.5635496936,310.529608825,173.4960136131,"2",0.188,0.812
"7297","Emp1",0,0,0,17.037,2.106,10.752,0,0,0,11.226,39.985,11.624,0,0,3.787,6.36,8.892,1.129,0,0,0.555,5.559,0,0,1.525,3.15,0.27,46.82,57.25,31.01,10.738,0.564,0.565,0,0,39.35,0,0,0,29.9189237597,53.4646583757,0,0,0,0,0,6.2733643614,24.6480825992,0,2.4564773623,24.8034264527,34.3467533731,83.0451153236,2.3009266982,19.0927970687,115.306152618,51.8325975206,65.119210831,28.7867317121,0,0,16.6351239,7.90104844,0,0,0.98559358,19.8008725,0,13.6780704,0,0.8366653531,0,0,4.5744032405,30.2867855726,8.7999700801,0,79.0728147663,24.290610083,25.4410848079,44.7360572622,23.6053306738,7.4076954845,2.3087703258,13.7877626712,"2",0.188,0.812
"28498","Nubp1",37.691,15.33,13.054,50.131,24.179,27.495,19.142,19.59,25.575,32.742,35.987,20.665,11.873,0.768,12.624,28.033,45.463,30.816,2.637,1.561,19.97,45.4,1.453,4.82,9.152,14.109,19.345,43.953,28.625,27.093,20.879,1.691,20.334,92.284,133.452,1.674,26.6833597765,87.5688489158,93.9880349145,32.3447824429,58.5565306019,15.5082038398,2.1201735574,0.8175525257,1.0249199025,11.6788662157,18.192756648,11.8838969675,74.1483738152,12.2823868117,42.1913955124,13.0844774755,21.2936193137,28.7615837278,0.8678544122,51.7399402773,26.4416291406,31.1370983828,30.0474644878,7.30937515,12.6972538,11.5166242,45.9431335,14.3248176,25.4872975,14.7839037,12.3755453,28.1789535,38.1328025,40.7791758692,21.7532991807,62.8852410546,0,3.4308024304,0,40.6998616205,18.4075830038,9.3026840902,4.1641045857,21.806644121,66.1720847003,69.3406588543,5.5557716133,50.4081521141,25.2775648973,"2",0.188,0.812
