NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TFR 500	TFR 500	Details ...	200	0.87487715	1.1915983	0.0	0.09979629	0.0	4472	tags=95%, list=11%, signal=107%	
TFR 300	TFR 300	Details ...	200	0.8946897	1.1839663	0.0	0.09979629	0.049	2985	tags=91%, list=8%, signal=98%	
TFR 900	TFR 900	Details ...	200	0.8876131	1.1763307	0.0	0.09979638	0.049	4162	tags=97%, list=11%, signal=108%	
TFR 700	TFR 700	Details ...	200	0.935315	1.1708236	0.0	0.09979629	0.049	2174	tags=97%, list=6%, signal=102%	
TFR 200	TFR 200	Details ...	200	0.95419866	1.1573288	0.0	0.09979633	0.049	1511	tags=97%, list=4%, signal=100%	
