NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_78	Cwf19l1	na	3717	0.32105129957199097	0.539981	Yes	
row_79	Mrps5	na	3772	0.31392142176628113	0.541922	Yes	
row_80	Fbxl8	na	3988	0.28290069103240967	0.5393755	Yes	
row_81	Mrpl41	na	4004	0.28100329637527466	0.5419738	Yes	
row_82	Tbcb	na	4028	0.27650803327560425	0.54431784	Yes	
row_83	Mns1	na	4035	0.2760098874568939	0.5470956	Yes	
row_84	Skap2	na	4191	0.2563057541847229	0.545816	Yes	
row_85	Cstf2	na	4246	0.24784080684185028	0.5470548	Yes	
row_86	Il9r	na	4385	0.2301032692193985	0.54593587	Yes	
row_87	Arl1	na	4388	0.2296290099620819	0.5483241	Yes	
row_88	Cyp51	na	4422	0.2248440533876419	0.54986095	Yes	
row_89	Slc52a2	na	4436	0.2220223993062973	0.55188423	Yes	
row_90	Nrarp	na	4476	0.21718382835388184	0.55318475	Yes	
row_91	Strap	na	4528	0.21046656370162964	0.5541039	Yes	
row_92	Ppp1r16a	na	4566	0.20580855011940002	0.55533516	Yes	
row_93	Mrps33	na	4680	0.18833599984645844	0.554418	Yes	
row_94	Spata13	na	4737	0.1812620759010315	0.5548978	Yes	
row_95	Hspe1	na	4762	0.1784595102071762	0.55617416	Yes	
row_96	AI662270	na	4779	0.17534710466861725	0.5576241	Yes	
row_97	Slc25a5	na	4794	0.17322570085525513	0.55910313	Yes	
row_98	Atxn1	na	4810	0.17117708921432495	0.56053454	Yes	
row_99	Slc22a15	na	4812	0.17100906372070312	0.5623258	Yes	
row_100	Mettl7a1	na	4818	0.17031756043434143	0.5640063	Yes	
row_101	Mogs	na	4896	0.16125565767288208	0.56373113	No	
row_102	Rbbp7	na	5030	0.14258190989494324	0.5618114	No	
row_103	Fbxo4	na	5106	0.13424620032310486	0.56130093	No	
row_104	Etv5	na	5123	0.1320684403181076	0.56229097	No	
row_105	Man2b2	na	5198	0.1207718476653099	0.56166315	No	
row_106	Paics	na	5314	0.10546847432851791	0.5598139	No	
row_107	2410127L17Rik	na	5418	0.09138156473636627	0.5581249	No	
row_108	Ufc1	na	5450	0.08712555468082428	0.55825	No	
row_109	Matn2	na	5490	0.08109094202518463	0.55810446	No	
row_110	Erap1	na	5581	0.06655965000391006	0.55648744	No	
row_111	Sephs1	na	5650	0.059259943664073944	0.555361	No	
row_112	Aga	na	5678	0.056111227720975876	0.5552599	No	
row_113	Apool	na	5754	0.045146405696868896	0.55380267	No	
row_114	Glb1	na	5838	0.03407713770866394	0.55202127	No	
row_115	Cdkal1	na	5888	0.0272324550896883	0.55104524	No	
row_116	Cntln	na	5892	0.027105800807476044	0.55125576	No	
row_117	Prkar1a	na	5937	0.02095128782093525	0.5503421	No	
row_118	Sdhb	na	6051	0.00651004072278738	0.547493	No	
row_119	Atf6	na	6068	0.004615205340087414	0.5471288	No	
row_120	Adam10	na	32362	-0.002497974084690213	-0.13186432	No	
row_121	Ruvbl2	na	32367	-0.002948274603113532	-0.1319363	No	
row_122	Pa2g4	na	32390	-0.006133741699159145	-0.13243929	No	
row_123	Tfeb	na	32403	-0.0076086679473519325	-0.13266835	No	
row_124	Dkkl1	na	32491	-0.01920057088136673	-0.13471112	No	
row_125	Polr1c	na	32563	-0.029927348718047142	-0.13622671	No	
row_126	Tmem243	na	32584	-0.03202003240585327	-0.136403	No	
row_127	Gm17134	na	32610	-0.034927986562252045	-0.13667749	No	
row_128	Timm50	na	32648	-0.040716640651226044	-0.1372004	No	
row_129	Acad9	na	32690	-0.04687792807817459	-0.13776113	No	
row_130	Ccng2	na	32700	-0.048018090426921844	-0.13748336	No	
row_131	Fam129b	na	32733	-0.053081534802913666	-0.13774575	No	
row_132	Stx6	na	32784	-0.05891673266887665	-0.138411	No	
row_133	Pacsin2	na	32825	-0.06490182876586914	-0.1387544	No	
row_134	Mrpl48	na	32880	-0.07215345650911331	-0.1393823	No	
row_135	Denr	na	32921	-0.07785679399967194	-0.13958806	No	
row_136	Nudc	na	32946	-0.08080828189849854	-0.13934925	No	
row_137	Slc35a2	na	32951	-0.0817398652434349	-0.13858405	No	
row_138	0610009D07Rik	na	32954	-0.08211410045623779	-0.1377632	No	
row_139	Rbmxl1	na	32987	-0.08699451386928558	-0.13766527	No	
row_140	Pear1	na	33081	-0.09748143702745438	-0.13903123	No	
row_141	Gtf2h5	na	33161	-0.10892587900161743	-0.13991405	No	
row_142	Clns1a	na	33188	-0.11286455392837524	-0.13938628	No	
row_143	Vill	na	33189	-0.1128883808851242	-0.13818681	No	
row_144	Bcap29	na	33198	-0.11394917219877243	-0.13718267	No	
row_145	Psmd13	na	33199	-0.11427052319049835	-0.1359685	No	
row_146	Cox7c	na	33229	-0.11771202832460403	-0.13546671	No	
row_147	Zfp444	na	33266	-0.12223798036575317	-0.1350976	No	
row_148	Ppat	na	33270	-0.123017817735672	-0.13386796	No	
row_149	Umps	na	33366	-0.13925570249557495	-0.13484173	No	
row_150	Mdh2	na	33392	-0.14323608577251434	-0.13396542	No	
row_151	Atl3	na	33430	-0.14891469478607178	-0.13333869	No	
row_152	Dok1	na	33444	-0.15127667784690857	-0.13206705	No	
row_153	Ciapin1	na	33518	-0.161532461643219	-0.13223596	No	
row_154	Idh2	na	33580	-0.17138299345970154	-0.1319903	No	
row_155	Agfg1	na	33598	-0.17442423105239868	-0.13057601	No	
row_156	Ap2m1	na	33621	-0.17752426862716675	-0.12925792	No	
row_157	Galm	na	33626	-0.17807048559188843	-0.12746917	No	
row_158	Spg21	na	33628	-0.17838287353515625	-0.12559962	No	
row_159	4632419I22Rik	na	33690	-0.1885606050491333	-0.12517144	No	
row_160	Tceb3	na	33837	-0.21172668039798737	-0.12669225	No	
row_161	Lsm3	na	33890	-0.22048667073249817	-0.12569241	No	
row_162	Tfpi	na	34022	-0.24174493551254272	-0.1265069	No	
row_163	Saal1	na	34073	-0.24979747831821442	-0.12514398	No	
row_164	Nudt5	na	34185	-0.2686430811882019	-0.12515615	No	
row_165	Tmem230	na	34202	-0.27249574661254883	-0.122674	No	
row_166	Hmgn5	na	34219	-0.2763042449951172	-0.12015139	No	
row_167	Cdv3	na	34234	-0.278221070766449	-0.11755676	No	
row_168	Lmf2	na	34253	-0.2820620536804199	-0.11502462	No	
row_169	Ppie	na	34272	-0.28532928228378296	-0.11245777	No	
row_170	E2f4	na	34284	-0.28691214323043823	-0.10969331	No	
row_171	Ptgr2	na	34328	-0.29943886399269104	-0.10762217	No	
row_172	Arhgap10	na	34329	-0.29950934648513794	-0.10443979	No	
row_173	Alad	na	34619	-0.35251203179359436	-0.1081577	No	
row_174	Troap	na	34751	-0.3579100966453552	-0.10773789	No	
row_175	Osbp	na	34983	-0.3685453534126282	-0.10978758	No	
row_176	Kifc1	na	35012	-0.37650200724601746	-0.106510244	No	
row_177	Spty2d1	na	35042	-0.383175253868103	-0.10318782	No	
row_178	Dynlt3	na	35355	-0.4416190981864929	-0.10655292	No	
row_179	Fuom	na	35556	-0.4666164815425873	-0.10676	No	
row_180	Cdca7l	na	35576	-0.4717090427875519	-0.10223863	No	
row_181	Thoc6	na	35702	-0.487499475479126	-0.100286946	No	
row_182	Meaf6	na	35850	-0.5093040466308594	-0.09867173	No	
row_183	Itpa	na	35857	-0.5114094614982605	-0.093392804	No	
row_184	Gltpd1	na	36409	-0.5559927821159363	-0.10171485	No	
row_185	Usp39	na	36452	-0.5573088526725769	-0.09687793	No	
row_186	Ssrp1	na	36736	-0.5729835629463196	-0.098098315	No	
row_187	Psmc1	na	36855	-0.5997268557548523	-0.094773404	No	
row_188	1810022K09Rik	na	36903	-0.6102664470672607	-0.08950292	No	
row_189	Tshz1	na	36948	-0.6204975843429565	-0.08404625	No	
row_190	1190007I07Rik	na	36966	-0.6235727667808533	-0.07785963	No	
row_191	Sirt5	na	37191	-0.6809443831443787	-0.07640922	No	
row_192	Bub3	na	37503	-0.7723785042762756	-0.07623408	No	
row_193	Gmds	na	37842	-0.8974584341049194	-0.075427204	No	
row_194	Rad21	na	37909	-0.9191383719444275	-0.06736554	No	
row_195	Asrgl1	na	37992	-0.9559774994850159	-0.059325658	No	
row_196	Prps2	na	38313	-1.1169843673706055	-0.0557214	No	
row_197	Gga2	na	38668	-1.579866647720337	-0.048076935	No	
row_198	Adora2a	na	38830	-2.3909060955047607	-0.026830688	No	
row_199	Cep70	na	38857	-2.7438933849334717	0.0016525451	No	
