NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TFR 700	TFR 700	Details ...	200	0.72027194	1.3953257	0.0	0.08628655	0.0	4636	tags=64%, list=12%, signal=72%	
TFR 200	TFR 200	Details ...	200	0.76583654	1.3661683	0.0	0.08628655	0.056	3616	tags=67%, list=9%, signal=73%	
TFR 500	TFR 500	Details ...	200	0.5640063	1.2897756	0.0	0.08628662	0.056	4818	tags=51%, list=12%, signal=57%	
TFR 300	TFR 300	Details ...	200	0.5769551	1.2695305	0.0	0.08628655	0.056	4801	tags=58%, list=12%, signal=66%	
TFR 900	TFR 900	Details ...	200	0.5363044	1.2483197	0.0	0.0862866	0.056	5029	tags=54%, list=13%, signal=61%	
