NAME	TITLE	SCORE	
Syce2	na	1.3743287	
Ly86	na	1.3713188	
Fam117b	na	1.3688934	
Ppp2r5e	na	1.3681806	
Mif	na	1.366398	
Itm2c	na	1.3645765	
Ankmy2	na	1.358509	
Rbm42	na	1.3532492	
Prpf3	na	1.3477267	
Myl4	na	1.3464597	
Cisd2	na	1.3418345	
D19Bwg1357e	na	1.3406773	
Smim1	na	1.3357563	
Trip6	na	1.331145	
Nkg7	na	1.328031	
Psme2	na	1.327129	
Ccl5	na	1.3268007	
Ovca2	na	1.3266499	
Mapk8ip3	na	1.319542	
Ipo5	na	1.3174801	
Pirb	na	1.315294	
Snhg5	na	1.3152473	
Rap1gds1	na	1.3141944	
Ncapg2	na	1.3138416	
Abhd17a	na	1.309365	
Siva1	na	1.3069688	
Idua	na	1.3063595	
Dctpp1	na	1.3052882	
Twsg1	na	1.304333	
Pdha1	na	1.3020973	
Aurkb	na	1.3020163	
Tpr	na	1.3000064	
AW146154	na	1.2993137	
Zc3h14	na	1.2978852	
Gm10269	na	1.2975193	
Osbpl3	na	1.2971319	
Gm10718	na	1.2969769	
Hadha	na	1.2947922	
Nop9	na	1.2914922	
Cdc5l	na	1.2909377	
Mcm5	na	1.2890342	
Zfp251	na	1.2803856	
Oxct1	na	1.2801434	
Zfp688	na	1.2793249	
Gm14698_2	na	1.2721144	
Relb	na	1.2718036	
Pglyrp1	na	1.2682486	
Zrsr1	na	1.267879	
Ccdc59	na	1.2658541	
Cdk1	na	1.2629832	
Ulk3	na	1.2603304	
Gtpbp2	na	1.2601947	
Pdcd6	na	1.2588325	
Ifitm2	na	1.2570778	
Kpna2	na	1.2532136	
Dscr3	na	1.2530134	
Stx8	na	1.2520633	
Gm10720	na	1.2506673	
Gm26581	na	1.24985	
Igf1r	na	1.24896	
Plekhm1	na	1.2480916	
Alyref	na	1.248026	
Mphosph6	na	1.2476065	
Iglc2	na	1.240371	
Sit1	na	1.2383372	
Aebp2	na	1.2378999	
Mis18a	na	1.2356976	
Zfp956	na	1.232689	
Wibg	na	1.2318099	
1700017B05Rik	na	1.2279629	
Atp5j2	na	1.2269047	
Ampd2	na	1.2252818	
Arpc5	na	1.2248108	
Rpl22l1	na	1.2243917	
Rad50	na	1.222132	
Cybb	na	1.2209643	
Rae1	na	1.2171931	
Srsf4	na	1.2171795	
Map7	na	1.2145607	
Polr2b	na	1.2144393	
2810417H13Rik	na	1.2095072	
Lat2	na	1.2089553	
Ocrl	na	1.2088126	
Lyar	na	1.2086536	
Mif4gd	na	1.2065955	
Gm9396	na	1.2060571	
Tor4a	na	1.2006965	
Appl1	na	1.2006189	
BC021614	na	1.1995339	
Mfsd7b	na	1.1979849	
Cntd1	na	1.1956187	
Csrnp1	na	1.1898485	
Hnrnpu	na	1.1875033	
Pten	na	1.187305	
Cox6c	na	1.1856635	
Igflr1	na	1.1851802	
Ehbp1l1	na	1.1848147	
Tex10	na	1.1847357	
Igkc	na	1.1844943	
Mfap1b	na	1.1825526	
Mki67	na	1.1801267	
Dclk2	na	1.168869	
Atp6v1d	na	1.1675135	
Znrf2	na	1.1671401	
Grn	na	1.1669312	
Pip4k2a	na	1.163427	
Wac	na	1.1630441	
Sbk1	na	1.1596729	
Unc119b	na	1.1573735	
Dek	na	1.1568863	
Wdsub1	na	1.1565132	
Ankfy1	na	1.1527414	
Abhd11	na	1.1488395	
Plbd1	na	1.1483662	
Haghl	na	1.148264	
Nol7	na	1.1476611	
Shmt1	na	1.1474385	
Slc39a13	na	1.1466079	
Ccdc92	na	1.1466069	
Fuca2	na	1.1461453	
Arf1	na	1.1449296	
Atg2a	na	1.1440009	
Gm11574	na	1.1432434	
Ndc80	na	1.1412842	
Ak3	na	1.1404058	
Knstrn	na	1.1384666	
Wdfy4	na	1.1376463	
Cd14	na	1.1366382	
E030030I06Rik_1	na	1.1344427	
Mrpl34	na	1.133249	
Gm26740	na	1.1316444	
Zdhhc1	na	1.1290416	
Gpr114	na	1.1273384	
Pigs	na	1.12597	
Cdca5	na	1.1257571	
Zfp523	na	1.122723	
Prmt10	na	1.1219709	
Pink1	na	1.1213056	
Mrpl14	na	1.1196519	
Sh3bgrl3	na	1.1186672	
Spint1	na	1.1171769	
2010204K13Rik	na	1.1157647	
Ckap2	na	1.1151487	
Cdkn2d	na	1.1140177	
Trpm7	na	1.1139854	
Ulk1	na	1.1135591	
Haus7	na	1.1117761	
Pon2	na	1.1109616	
Mmd	na	1.1099515	
Gprin3	na	1.1089202	
Fbxo22	na	1.1085666	
Gm12657	na	1.107799	
Cd68	na	1.1075684	
Zcchc8	na	1.1050242	
Mrps7	na	1.1049826	
Msl3	na	1.1042408	
Mcm10	na	1.1041468	
Pgam1	na	1.1037796	
Trim32	na	1.1013724	
Pla2g16	na	1.100127	
Bag3	na	1.09985	
Rfk	na	1.0988845	
Ahi1	na	1.0985421	
Creg1	na	1.097644	
Serinc5	na	1.0974485	
Gstp2	na	1.0969312	
Ncf4	na	1.0956494	
Zap70	na	1.0939404	
Phospho2	na	1.0930923	
Cyth4	na	1.0928532	
Gm15417	na	1.0925612	
Fgd2	na	1.0925144	
Lcmt1	na	1.092424	
Crip1	na	1.0916303	
St6gal1	na	1.0910705	
Gm26825	na	1.0903556	
Tmtc3	na	1.0895253	
Ldoc1l	na	1.0887831	
Galnt11	na	1.0868155	
2010107E04Rik	na	1.0860324	
Cdca2	na	1.0844126	
Tmem123	na	1.0834519	
