NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
TFR 500	TFR 500	Details ...	200	0.8080457	1.3348374	0.0	0.08543686	0.0	5961	tags=84%, list=15%, signal=99%	
TFR 900	TFR 900	Details ...	200	0.8388551	1.3083751	0.0	0.08543686	0.044	4507	tags=79%, list=12%, signal=89%	
TFR 300	TFR 300	Details ...	200	0.87276524	1.2517604	0.0	0.085436925	0.044	4505	tags=93%, list=12%, signal=105%	
TFR 700	TFR 700	Details ...	200	0.9037704	1.2367954	0.0	0.08543686	0.044	2576	tags=90%, list=7%, signal=95%	
TFR 200	TFR 200	Details ...	200	0.9245539	1.199609	0.0	0.085436895	0.044	2423	tags=94%, list=6%, signal=100%	
